location,public_hours,winter_play,type,lights,courts,place,additional,latitude,longitude
Major Abbas Ali ParkClub: Major Abbas Ali Park,Tuesdays 4 p.m. - 6 p.m.Wednesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Saturdays 4 p.m. - 6 p.m.Sundays 4 p.m. - 6 p.m.Holidays 4 p.m. - 6 p.m.,,Club,Yes,3,Major Abbas Ali Park, Major Abbas Ali Park,43.803519,-79.231786
Martingrove Gardens Park,,,Public,Yes,3,Martingrove Gardens Park,,43.689532,-79.563656
Maryvale ParkClub: Maryvale Tennis ClubWebsite: http://www.maryvaletennis.blogspot.caMembership: Open,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.Holidays 12 p.m. - 2 p.m.,Yes,Club,Yes,3,Maryvale Park, Maryvale Tennis ClubWebsite: http://www.maryvaletennis.blogspot.caMembership: Open,43.753881,-79.30588
Old Mill Site ParkClub: York Old Mill Tennis ClubWebsite: http://www.oldmilltennis.comMembership: Open,Saturdays 5 p.m. - 11 p.m.Holidays 2 p.m. - 4 p.m.,,Club,Yes,4,Old Mill Site Park, York Old Mill Tennis ClubWebsite: http://www.oldmilltennis.comMembership: Open,43.650965,-79.490267
Park Lawn Park Book Online,,,Public,Yes,4,Park Lawn Park,,43.6370841,-79.49462934
Royal Crest Park,,,Public,Yes,3,Royal Crest Park,,43.752511,-79.60501
Scarboro Crescent ParkClub: Scarborough Bluffs Tennis ClubWebsite: http://www.sbtennis.orgMembership: Open,Sundays 5 p.m. - 8 p.m.Saturdays 5 p.m. - 8 p.m.Holidays 2 p.m. - 4 p.m.,Yes,Club,Yes,4,Scarboro Crescent Park, Scarborough Bluffs Tennis ClubWebsite: http://www.sbtennis.orgMembership: Open,43.705344,-79.242218
Sunnydale Acres Park,,,Public,Yes,4,Sunnydale Acres Park,,43.724463,-79.578293
Tam Heather Country Club Grounds,,,Club,Yes,4,Tam Heather Country Club Grounds,,43.791062,-79.198045
Three Valleys ParkClub: Parkway Valley Tennis ClubWebsite: http://www.pvtc.ca,,,Club,Yes,2,Three Valleys Park, Parkway Valley Tennis ClubWebsite: http://www.pvtc.ca,43.750427,-79.338912
Tournament ParkClub: Tournament Park Tennis ClubWebsite: http://www.tournamentpark.comMembership: Open,Saturdays 9 p.m. - 11 p.m.Sundays 9 p.m. - 11 p.m.,,Club,Yes,4,Tournament Park, Tournament Park Tennis ClubWebsite: http://www.tournamentpark.comMembership: Open,43.75095,-79.400155
Valleyfield Park,,,Public,No,1,Valleyfield Park,,43.694871,-79.534175
Withrow Park and Clubhouse,,Yes,Public,No,2,Withrow Park and Clubhouse,,43.676011,-79.348435
